회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,연봉정보,크롤링_시간
(주)더라이징스타헤딩,[전기차 충전 플랫폼] 데이터 분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49495961&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 종로구,경력 2~8년,대졸↑,정규직,~ 12/13(금),"데이터분석가, Python, SQL, BI 엔지니어, 에너지 등록일 24/11/29",급성장중,2024-12-08 20:14:03.564924
(주)와이비에스,도시/교통분야  빅데이터 분석 및 AI 알고리즘/모델 구현 경력직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482053&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 관악구,경력5년↑,대졸↑,정규직,채용시,"빅데이터, Python, 알고리즘, AI(인공지능), 통계분석 외                    등록일 24/11/27",,2024-12-08 20:14:03.566380
쓰리핸즈(3Handz),[ 데이터분석가 ] 전자제품 1위 유통 대기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49535949&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 3~12년,대졸↑,정규직,채용시,"데이터엔지니어, 데이터분석가, 빅데이터, 솔루션, Python 외                    등록일 24/12/05",,2024-12-08 20:14:03.568064
(주)유니토아,이커머스 마케터 경력자모집 (IMC/데이터분석/광고관리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49174032&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력 3~5년,대졸↑,정규직,채용시,"데이터분석, 회원분석, 브랜드관리, 마케팅, 기획 외                    수정일 24/10/15",연봉상승률 10% 이상,2024-12-08 20:14:03.569603
일루넥스,"2024년 경력 인공지능, 빅데이터 분석 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348215&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,경기 고양시 덕양구,경력 3~10년,대졸↑,정규직,상시채용,"데이터분석, 빅데이터, 머신러닝, 알고리즘, AI(인공지능) 외                    등록일 24/11/06",급성장중,2024-12-08 20:14:03.571063
(주)엔씨소프트,"[단기계약직] NLP 데이터 분석, 처리를 위한 개발자 (언어공학자) 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49394844&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,경기 성남시 분당구,신입·경력,학력무관,계약직,~ 12/31(화),"그래픽디자인, 디지털디자인, 애니메이터, 웹디자인, 3D디자인 외                    수정일 24/11/13",평균연봉 상위 10%,2024-12-08 20:14:03.572625
(주)엔씨소프트,[NC 분할법인_루디우스게임즈] 데이터분석전문가 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49528920&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,경기 성남시 분당구,경력5년↑,대졸↑,정규직,~ 02/03(월),"그래픽디자인, 디지털디자인, 애니메이터, 웹디자인, 3D디자인 외                    수정일 24/12/04",평균연봉 상위 10%,2024-12-08 20:14:03.574051
(주)엠포스,[엠포스] 광고 데이터 분석 전문가 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49455296&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 서초구,경력 5~10년,초대졸↑,정규직,~ 12/22(일),"데이터분석, 전략기획, 사업기획, 애드테크, 광고기획사 외                    수정일 24/11/25",급성장중,2024-12-08 20:14:03.575661
(주)이롬토탈서비스,데이터분석/엑셀자료제작/사무담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49465695&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 서초구,경력2년↑,학력무관,정규직,~ 12/25(수),"문서작성, 사무직, Excel, 문구·팬시 수정일 24/12/07",자유로운 연차,2024-12-08 20:14:03.577096
에버브레인컨설팅(주),데이터분석담당 - 리걸테크 기업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49491778&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 성동구,경력 8~15년,대졸↑,정규직,~ 12/28(토),"데이터분석, 기획, 인터넷법률 등록일 24/11/28",,2024-12-08 20:14:03.578617
(주)리앤파트너,[국내최대 가상자산거래소기업] 비즈니스 데이터 분석 (정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49522023&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 서초구,경력 7~10년,대졸↑,정규직,~ 01/02(목),"데이터분석, 기획, 헤드헌팅 등록일 24/12/03",자유로운 연차,2024-12-08 20:14:03.580092
(주)리앤파트너,[국내최대 가상자산거래소기업] 고객 데이터 분석 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49545354&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 서초구,경력 3~7년,학력무관,정규직,~ 01/05(일),"데이터분석, 헤드헌팅 등록일 24/12/06",프리한 복장,2024-12-08 20:14:03.581394
(주)에이치비아이기술연구소,[국비학원]K-디지털 트레이닝 데이터분석/머신러닝 경력강사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523701&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 마포구,경력 5~20년,대졸↑,프리랜서,~ 12/27(금),"IT강사, 컴퓨터교육, IT학원 수정일 24/12/04",,2024-12-08 20:14:03.582813
제이앤피에이치알컨설팅,[Global Company] 글로벌 데이터 분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519668&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력4년↑,초대졸↑,정규직,~ 12/18(수),"데이터분석, 기획, 리서치, 헤드헌팅 수정일 24/12/03",워라밸,2024-12-08 20:14:03.584247
제이앤피에이치알컨설팅,[Global Company] 데이터 분석,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49519581&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=a8bec87b-0c4f-4905-9c3b-da37b1f3782a,서울 강남구,경력4년↑,초대졸↑,정규직,~ 12/18(수),"데이터분석, 기획, 리서치, 헤드헌팅 등록일 24/12/03",성과급/상여금,2024-12-08 20:14:03.585720
